url,title,displayedUrl,description,emphasizedKeywords,siteLinks,productInfo,likes,lastUpdated,channelName,type,position,reelLength,followersAmount,tweetCards,date,views,personalInfo,source_file
https://www.instagram.com/p/DIuADSNBaBA/,( ACEH SELATAN )- Ketua Yayasan Tata Peduli Tani ...,Instagram › kabariaceh,"Mendagri Tito Karnavian meminta gubernur tidak langsung resisten, dan menyarankan efisiensi anggaran serta mencari sumber pendapatan alternatif ...",['gubernur tidak langsung'],[],{},9 suka,8 bulan yang lalu,p,organic,7,,,,,,,instagram_search2.json
https://www.instagram.com/mata.semarang/p/DShflu7AcC3/?hl=cs,Rapat Pimpinan Nasional (Rapimnas) I Tahun 2025 Partai ...,Instagram › mata.semarang,... GUBERNUR DIPILIH DPRD SAJA MATASEMARANG.COM MATA.SEMARANG MATASEMARANG.COM. Profilový obrázek totalpolitikcom · totalpolitikcom. •. Sledovat.,['GUBERNUR DIPILIH DPRD'],[],{},5 suka,2 minggu yang lalu,mata.semarang,organic,43,,,,,,,instagram_search2.json
https://www.instagram.com/p/DMwLktRT1lu/,Menteri Dalam Negeri (Mendagri) Tito Karnavian ...,Instagram › portalmedia.id,...,['gubernur-dipilih-dprd'],[],{},9 suka,5 bulan yang lalu,p,organic,44,,,,,,,instagram_search2.json
https://www.instagram.com/p/DSCE8_nlFAg/,"""Viktor Silaen: Wacana Pilkada Dipilih DPRD Layak Dikaji ...",Instagram › sibnewsnetwork,"... gubernur-dipilih-dprd-tapi-bupati-dan-wali-kota-tetap-di-tangan-rakyat?page=2. more. View all 82 comments. December 15, 2024 · warta.sumut's ...",['gubernur-dipilih-dprd'],[],{},7 suka,1 bulan yang lalu,p,organic,45,,,,,,,instagram_search2.json
https://www.instagram.com/p/DSkRA9gFJ0I/,"Ketua DPP PDI Perjuangan (PDIP), Said Abdullah ...",Instagram › ruangbicaracoid,"... gubernur-dipilih-dprd-tapi-bupati-dan-wali-kota-tetap-di-tangan-rakyat?page=2. more. View all 82 comments. December 15, 2024 · kuatbacacom's ...",['gubernur-dipilih-dprd'],[],{},1 suka,2 minggu yang lalu,p,organic,46,,,,,,,instagram_search2.json
https://www.instagram.com/p/DLmcDF-pXqH/,DISKUSI FRAKSI PKB “Proyeksi Desain Pemilu Pasca ...,Instagram › fraksipkb,"PKS menyatakan dukungan terbatas: pemilihan gubernur dipilih DPRD, sementara bupati dan wali kota tetap dipilih langsung oleh rakyat.",['gubernur dipilih DPRD'],[],{},130+ suka,6 bulan yang lalu,p,organic,47,,,,,,,instagram_search2.json
https://www.instagram.com/reel/DGUPrUVhn2j/,"Ahmad Doli Kurnia Tandjung on Instagram: ""Revisi Undang ...",Instagram › ahmadolikurnia,Kerugian besar untuk warga dan kemunduran demokrasi jika Gubernur dipilih DPRD! tolakgubernurdipilihdprd demokrasi mundur. more. View 1 ...,[],[],{},130+ suka,10 bulan yang lalu,reel,organic,48,0:05,,,,,,instagram_search2.json
https://www.instagram.com/p/DShflu7AcC3/,Rapat Pimpinan Nasional (Rapimnas) I Tahun 2025 Partai ...,Instagram › mata.semarang,... GUBERNUR DIPILIH DPRD SAJA MATASEMARANG.COM MATA.SEMARANG MATASEMARANG.COM. totalpolitikcom's profile picture · totalpolitikcom. •. Follow.,['GUBERNUR DIPILIH DPRD'],[],{},5 suka,2 minggu yang lalu,p,organic,49,,,,,,,instagram_search2.json
https://www.instagram.com/reel/DTP5edaE-Zs/,"Kalau pilkada ada masalah, ya diperbaiki. Bukan malah ...",Instagram › genbanteng,"Ketimbang mengubah sistem, Said menawarkan penguatan aspek hukum melalui revisi UU Pilkada. ""Problemnya adalah politik uang. Kita butuh ...",[],[],{},"1,3 rb+ suka",7 jam yang lalu,reel,organic,10,1:57,,,,,,instagram_search2.json
https://www.instagram.com/p/C_AicgNyECM/,Badan Legislasi Dewan Perwakilan Rakyat (DPR ...,Instagram › databoks.id,... Revisi UU Pilkada ini menganulir putusan Mahkamah Konstitusi (MK) Nomor 60/PUU-XXII/2024 yang menetapkan syarat baru dalam pengajuan calon ...,['Revisi UU Pilkada'],[],{},560+ suka,1 tahun yang lalu,p,organic,11,,,,,,,instagram_search2.json
