tweet_id,text,author,author_name,created_at,likes,replies,retweets,verified,followers,lang,in_reply_to_tweet_id
1.7391236778857843e+18,"Ini adalah bentuk perampasan hak suara dari warga Jakarta untuk memilih arah perkembangan kota, dan juga perampasan pengelolaan spasial oleh pemerintah pusat dari pemerintahan daerah! TOLAK",gauzal,Gauzal Asnawi,Mon Dec 25 03:19:30 +0000 2023,0,0,0,False,298,,
1.7365826898081756e+18,Mereka: -Nak hak sama rata -Nak hapus kuota masuk U -Nak masuk UiTM -Nak diskaun bumiputra -Nak dilayan adil untuk semua warganegara Juga mereka: -Tak nak sekolah kebangsaan -Tak nak bercampur dengan kaum lain -Tak nak cakap bahasa kebangsaan,brosgpt,Bavrick,Mon Dec 18 03:02:32 +0000 2023,7097,71,4251,False,86,,
1.7366164986246354e+18,"Ok kalau mereka dah give up sjk, ready ke nak bagi hak sama rata?",Jonatha83116671,Jonathan James,Mon Dec 18 05:16:52 +0000 2023,75,7,3,False,79,,
1.7369031321967782e+18,"Sedar sikit tanah mana ni, this is tanah melayu ( malaysia ) ada ka kat india nama tanah melayu ? So sedar, nenek moyang kay agree dengan perjanjian sebelum ni",AlypAyman,Alyp_ayman🇲🇾,Tue Dec 19 00:15:51 +0000 2023,9,2,0,False,132,,
1.7371747041617756e+18,kena ingat tau..kat indonesia..org cina dn india tidak ada hak utk mengundi dn tak boleh jadi wakil rakyat..ready ke nk jadi mcm indonesia😂😂..meroyan guan eng..terduduk kit siang..termenung teresa..ye la..risau tak leh dok kat parlimen dh😂😂,MohammadAiman01,Shehzade Aiman,Tue Dec 19 18:14:59 +0000 2023,1,10,0,False,210,,
1.7372873365963205e+18,"Tjhai Chui Mie dan Andrei Angouw, keduanya keturunan Tionghoa yang berhasil jadi Walikota di Singkawang dan Manado melalui pemilihan langsung oleh rakyat. Keduanya juga pernah jadi Ketua Dewan Perwakilan Rakyat Daerah (DPRD) di tempatnya masing-masing",veerapracha,Veerapcha,Wed Dec 20 01:42:32 +0000 2023,4,1,0,False,27,,
1.7372890800635945e+18,"Sebelum jd Wakil Gubernur Jakarta & gagal di Pemilihan Gubernur Jakarta, Ahok itu Bupati Belitung Timur pertama yg dipilih oleh rakyat secara langsung. FYI: Belitung Timur 93% nya muslim. Ahok jg pernah jadi Anggota DPRD & Parlemen Pusat. Adik Ahok pun terpilih menjadi Bupati",veerapracha,Veerapcha,Wed Dec 20 01:49:28 +0000 2023,1,1,0,False,27,,
1.7372920178548247e+18,"Banyak contoh lain Tionghoa yang berhasil di masuk legislatif dan eksekutif baik itu di peringkat daerah dan nasional. Partai Perindo (Persatuan Indonesia) didirikan keturunan Tionghoa. Anaknya, Angela Tanoesoedibjo jadi Wakil Menteri Pariwisata.",veerapracha,Veerapcha,Wed Dec 20 02:01:09 +0000 2023,1,0,0,False,27,,
1.7345586948878177e+18,Opening speechnya Anis....luar biasa. Ga level dgn 2 paslon yg ada....jaaauuuuuhhhh,DEXTER888j,Dexter,Tue Dec 12 12:59:54 +0000 2023,137,18,1,False,11,,
1.734615858465387e+18,Ngelawak luu. Trus kenapa rencana pemilihan gubernur di Jakarta mau diganti dari pilihan rakyat jadi usulan DPRD kemudian dipilih oleh preside. Mbang mbang bang,dekanio8415,Dekanio8415,Tue Dec 12 16:47:02 +0000 2023,1,0,0,False,4,,
1.7326943099070838e+18,Adapun wacana ini termuat dalam Rancangan Undang-Undang tentang Daerah Khusus Jakarta (RUU DKJ) yang sudah disahkan menjadi RUU inisiatif DPR. threadtvOne,tvOneNews,tvOnenews,Thu Dec 07 09:31:30 +0000 2023,1,1,0,False,7881608,,
1.732694413577798e+18,"“Kami tidak setuju atas usulan Pemilihan Gubernur dan Wakil Gubernur Daerah Khusus Jakarta ditunjuk dan diangkat oleh Presiden dengan memperhatikan usulan DPRD Jakarta,” tegas Ketua DPP PDIP Said Abdullah dalam keterangannya, Kamis (7/12/2023). threadtvOne",tvOneNews,tvOnenews,Thu Dec 07 09:31:54 +0000 2023,1,1,0,False,7881608,,
1.7326945627481784e+18,"“Selain bertolak belakang dengan prinsip-prinsip demokrasi, usulan ini mencabut hak politik warga Jakarta. Apalagi sebagai pemegang kekuasaan pemerintahan di daerah khusus, Gubernur Jakarta akan memiliki kewenangan yang lebih daripada daerah otonom lainnya,” sambung dia.",tvOneNews,tvOnenews,Thu Dec 07 09:32:30 +0000 2023,1,0,0,False,7881608,,
1.7326790683012915e+18,Wacana jabatan gubernur dan wakil gubernur akan ditetapkan oleh Presiden RI bergulir usai Rancangan Undang-Undang (RUU) tentang Daerah Khusus Jakarta (DKJ) disahkan menjadi inisiatif DPR pada Selasa (5/12/2023).,asumsico,Asumsi,Thu Dec 07 08:30:56 +0000 2023,1,1,0,False,344458,,
1.7326790716232174e+18,"Dalam RUU itu, pemilihan gubernur dan wakil gubernur Jakarta tidak melalui Pilkada. Berdasarkan Pasal 10 ayat (2) Bab IV RUU DKJ, disebutkan bahwa gubernur dan wakil gubernur ditunjuk, diangkat, dan diberhentikan oleh presiden dengan memperhatikan usul atau pendapat DPRD.",asumsico,Asumsi,Thu Dec 07 08:30:56 +0000 2023,1,1,0,False,344458,,
1.7326790748780424e+18,Baca berita selengkapnya!,asumsico,Asumsi,Thu Dec 07 08:30:57 +0000 2023,2,2,0,False,344458,,
1.7320560851405537e+18,"Dan Kaesang pun akan ditunjuk jadi Gubernur DKI bila Prabowo menang. Lagi-lagi dengan alasan, melakukan regenerasi kepemimpinan nasional.",Indonesiaguyub,Indonesia Guyub,Tue Dec 05 15:15:25 +0000 2023,61,8,3,False,2191,,
1.7320527578075302e+18,Lebih pantas disebut sebagai perusak DEMOKRASI JokowiPantasDimakzulkan,gererekmela,TimurFlores,Tue Dec 05 15:02:12 +0000 2023,40,1,0,False,59,,
1.7320564975999713e+18,"Makanya sempat ada wacana PilGub tahun depan mau di majuin sebelum Nopember, sktr Agustus.. kalo Draf UU ini jd.., brti nga ada PilGub di jkta...tinggal nunjuk , Lantik sebelum lengser... Pa Lurah makin aneh tp nyata...",teojuve,SuperJuve,Tue Dec 05 15:17:03 +0000 2023,34,2,2,False,885,,
1.7320700402862372e+18,"Dijamin RUU yg satu ini akan disahkan sebelum pak lurah lengser. Dan tentunya, everybody yg duduk di Senayan bakal happy",Ari3Pras,Ari3Pras ☯️,Tue Dec 05 16:10:52 +0000 2023,33,1,1,False,14027,,
1.7320533207083543e+18,Titah maharaja harus di laksanakan,noorca_7,noorca 7,Tue Dec 05 15:04:26 +0000 2023,28,8,0,False,217,,
1.732065834120651e+18,MAKIN KACAI NEGARA IN. .. BUBAR BUBAR DAH...PENGKHIANATAN THD REFORMASI.... KALIAN SIAPAPUN YG RENCANAKAN INI... TERKUTUKLAH KALIAN... ITU SUMPAHKU SBG WARGA BANGSA YG CINTA DEMOKRASJ TOTAL...,steve_marthen,Steve Marthen,Tue Dec 05 15:54:09 +0000 2023,26,1,0,False,69,,
1.7320512079283692e+18,"Ntar DKI dijadikan pilot project, di make up kayak Solo. Dianggap Gubernur yg ditunjuk Presiden lebih baik. Jadilah ntar di Nasionalkan. Jadi deh tuh barang semua ditunjuk Presiden. 😭",Smart_O_,Smart O .1312.,Tue Dec 05 14:56:02 +0000 2023,24,5,0,False,3281,,
1.732063508442047e+18,"Artinya, kalo 02 menang siap2 PSI punya gubernur yg diajukan ""DPRD DKI"" dan ditunjuk presiden ? Asyiiik. Itu kalo presiden terpilih bisa dikendalikan mantan presiden. Atau punya agenda sendiri.",HPurwanto35026,Hery Purwanto,Tue Dec 05 15:44:55 +0000 2023,19,2,0,False,80,,
