url,title,displayedUrl,description,emphasizedKeywords,siteLinks,productInfo,likes,lastUpdated,channelName,type,position,reelLength,followersAmount,tweetCards,date,views,personalInfo,source_file,reactions
https://www.threads.com/@holopiscom/post/DS3wVLRDWZY/bali-united-gagal-tutup-tahun-dengan-kemenangan-pelatih-johnny-kecewa-bali,Bali United Gagal Tutup Tahun 2025 dengan Kemenangan ...,https://www.threads.com › @holopiscom,"29 Des 2025 — Arifki Nilai Demokrat Sedang Terjepit di Isu Pilkada DPRDPosisi Demokrat saat ini tidak mudah, mereka sedang dilanda cemas antara memilih ...",['Pilkada DPRD'],[],{},,,,organic,119,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS2TtuogMGy/skincare-malam-tidak-harus-ribet-ini-rutinitas-sederhana-yang-bisa-dicoba,"Skincare Malam Tidak Harus Ribet, Ini Rutinitas ...",https://www.threads.com › @holopiscom,"29 Des 2025 — Arifki Yakin Pilkada Lewat DPRD Potensi Lolos, PDIP Tak Mampu BendungArifki Chaniago menilai Pilkada DPRD tak menguntungkan bagi partai kecil.",['Pilkada DPRD'],[],{},,,,organic,122,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DSq4clSEQ6K/pira-turun-ke-kolong-manggarai-bagikan-sembako-di-hari-ibu-novita-wijayanti,PIRA Turun ke Kolong Manggarai Bagikan Sembako di ...,https://www.threads.com › @holopiscom,24 Des 2025 — Demokrat Kaget Cak Imin Dusta Soal PKB Dukung Pilkada DPRD Sejak Era SBYHasbil Lubis kaget Cak Imin mengklaim PKB mendukung Pilkada lewat ...,['Pilkada DPRD'],[],{},,,,organic,123,,,,,,,thread 3.json,
https://www.threads.com/@medsoszone/post/DDwd7nUTE2D/video--lokasi-jalan-soyo-vau-depan-masjid-nurul-iman-taipa-laga-palu-utara-rabu-181220,"jalan Soyo Vau depan Masjid Nurul Iman Taipa Laga, Palu ...",https://www.threads.com › @medsoszone,19 Des 2024 — #pilkada #dprd #medsoszone #indonesia #viral. May be a meme of poster and text that says 'PILKADA PILKADA OPRD Pilkada Lewat. May be an image ...,['pilkada #dprd'],[],{},,,,organic,125,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS3lkGKjorW,"Cuaca Jateng Hari Ini Umumnya Turun Hujan, Cek ...",https://www.threads.com › @holopiscom,"29 Des 2025 — Arifki Nilai Demokrat Sedang Terjepit di Isu Pilkada DPRDPosisi Demokrat saat ini tidak mudah, mereka sedang dilanda cemas antara memilih ...",['Pilkada DPRD'],[],{},,,,organic,126,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS2AzgoEfml/kaleidoskop-ini-dia-film-indonesia-terlaris-sepanjang-masa-kaleidoskop-film,Kaleidoskop 2025 : Ini Dia 10 Film Indonesia Terlaris ...,https://www.threads.com › @holopiscom,"29 Des 2025 — Arifki Yakin Pilkada Lewat DPRD Potensi Lolos, PDIP Tak Mampu BendungArifki Chaniago menilai Pilkada DPRD tak menguntungkan bagi partai kecil.",['Pilkada DPRD'],[],{},,,,organic,127,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS1Xm5zjI_W/kebijakan-wfa-berlaku-desember-begini-ketentuannya-pemerintah-menetapkan,"Kebijakan WFA Berlaku 29–31 Desember 2025, Begini ...",https://www.threads.com › @holopiscom,"28 Des 2025 — Arifki Yakin Pilkada Lewat DPRD Potensi Lolos, PDIP Tak Mampu BendungArifki Chaniago menilai Pilkada DPRD tak menguntungkan bagi partai kecil.",['Pilkada DPRD'],[],{},,,,organic,128,,,,,,,thread 3.json,
https://www.threads.com/@disinisadat/post/DIL-6kKTTFP/video-kedua-penumpang-bmw-atas-nama-moch-rudie-heru-komandono-62-dan-endang-sri-wahyun,Kedua penumpang BMW atas nama Moch Rudie Heru ...,https://www.threads.com › @disinisadat,"Kabar buruk untuk kalian yang nolak Pilkada DPRD ala OrbaSuka gak suka, siap gak siap, revisi UU Pilkada pasti akan terjadiUdah ada empat ...",['Pilkada DPRD'],[],{},,,,organic,130,,,,2025-04-08T12:00:00.000Z,,,thread 3.json,
https://www.threads.com/@disinisadat/post/DPquCvskUBd/kenapa-penang-makin-populer-jadi-destinasi-baru-dunia-kedokteran-karena-dokter2n,Kenapa Penang makin populer jadi destinasi baru dunia ...,https://www.threads.com › @disinisadat,"11 Okt 2025 — January 1, 2026 at 6:18 PM. Kabar buruk untuk kalian yang nolak Pilkada DPRD ala OrbaSuka gak suka, siap gak siap, revisi UU Pilkada pasti ...",['Pilkada DPRD'],[],{},,,,organic,132,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS3fNX3kf4q,Tiket Kereta Api Masih Diskon 30 Persen di Sejumlah ...,https://www.threads.com › @holopiscom,"29 Des 2025 — Arifki Nilai Demokrat Sedang Terjepit di Isu Pilkada DPRDPosisi Demokrat saat ini tidak mudah, mereka sedang dilanda cemas antara memilih ...",['Pilkada DPRD'],[],{},,,,organic,133,,,,,,,thread 3.json,
https://www.threads.com/@myang_ksatria/post/DTCahhxATIn/bu-afni-keren-sih-saya-ngikutin-akun-ig-beliau-dari-sebelum-beliau-jadi-bupati,Bu Afni keren sih. Saya ngikutin akun IG beliau dari ...,https://www.threads.com › @myang_ksatria,6 hari yang lalu — Percaya gak percaya mayotitas yang menolak pilkada DPRD itu yang partai mreka pengkaderannya jelek. Mreka mostly pengandalkan artis dan ...,['pilkada DPRD'],[],{},,,,organic,134,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS2BY5AEViA/kuota-snbp-diumumkan-hari-ini-simak-alur-pendaftarannya-seleksi-nasional,"Kuota SNBP 2026 Diumumkan Hari Ini, Simak Alur ...",https://www.threads.com › @holopiscom,"29 Des 2025 — Arifki Yakin Pilkada Lewat DPRD Potensi Lolos, PDIP Tak Mampu BendungArifki Chaniago menilai Pilkada DPRD tak menguntungkan bagi partai kecil.",['Pilkada DPRD'],[],{},,,,organic,135,,,,,,,thread 3.json,
https://www.threads.com/@nandangsutisnachannel/post/DEJgQV4yElx,Saya mengalami ketika PNS Eselon 4 di instansi pusat ...,https://www.threads.com › @nandangsutisnachannel,"28 Des 2024 — ... January 2, 2026 at 12:52 AM. Tolak wacana Pilkada oleh DPRD, itu bukan untuk penghematan tapi akal-akalan. #pilkada #dprd #kotakkosong. 39. 8. 6.",['pilkada #dprd'],[],{},,,,organic,136,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS1ZR7dDfyH/resep-mie-nyemek-hangat-santapan-favorit-saat-lapar-mendadakmie-nyemek-dikenal-s,"RESEP : Mie Nyemek Hangat, Santapan Favorit Saat ...",https://www.threads.com › @holopiscom,"28 Des 2025 — Arifki Yakin Pilkada Lewat DPRD Potensi Lolos, PDIP Tak Mampu BendungArifki Chaniago menilai Pilkada DPRD tak menguntungkan bagi partai kecil.",['Pilkada DPRD'],[],{},,,,organic,137,,,,,,,thread 3.json,
https://www.threads.com/@nandangsutisnachannel/post/DC4KKhWSnwJ/aamiin-semoga-cepat-sembuh-ya-dede-yang-baik,Aamiin semoga cepat sembuh ya Dede yang baik,https://www.threads.com › @nandangsutisnachannel,"January 2, 2026 at 12:52 AM. Tolak wacana Pilkada oleh DPRD, itu bukan untuk penghematan tapi akal-akalan. #pilkada #dprd #kotakkosong. 44. 8. 6.",['pilkada #dprd'],[],{},,,,organic,138,,,,2024-11-27T12:00:00.000Z,,,thread 3.json,
https://www.threads.com/@nandangsutisnachannel/post/DEWz-NeRWwB,Saya tidak bimbel cuma modal beginian saja masuk ITB 😄😄,https://www.threads.com › @nandangsutisnachannel,"January 2, 2026 at 12:52 AM. Tolak wacana Pilkada oleh DPRD, itu bukan untuk penghematan tapi akal-akalan. #pilkada #dprd #kotakkosong. 35. 3. 5.",['pilkada #dprd'],[],{},,,,organic,139,,,,2025-01-03T12:00:00.000Z,,,thread 3.json,
